"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @imbhambhu: @zeerajasthan_ @nihalchandindia Feb me announce ho chuki Shriganganagr-sikar express kaha h janab? Na Delhi ki train chli na","2018-07-29 15:54:58","TRUE","1","0","-1","Transportation","Delhi","India",FALSE
"2","Railways says trains are still running on the Old Yamuna bridge, however their activity is being monitored by the D  ","2018-07-29 15:39:41","FALSE","0","0","-1","Transportation","Delhi","India",FALSE
"3","@noharstation @nihalchandindia @PiyushGoyal @VasundharaBJP @narendramodi @AmitShah @BJP4India @RajCMO  ","2018-07-29 15:27:31","FALSE","0","0","-1","Transportation","Delhi","India",FALSE
"4","Jind - Delhi Passenger 54034 live running status from station Jind Junction to Delhi  ","2018-07-29 15:06:07","FALSE","0","0","0","Transportation","Delhi","India",FALSE
"5","@PiyushGoyal  Train Kashi Vishwanath is running from Delhi to Varanasi, many Male passengers are in ladies compartm  ","2018-07-29 14:52:14","FALSE","0","0","-1","Transportation","Delhi","India",FALSE
"6","@PiyushGoyal Dear Sir , I am from pathankot but there is no train going to this  pathankot from new delhi to jammu/  ","2018-07-29 14:42:42","FALSE","0","1","3","Transportation","Delhi","India",FALSE
"7","@PMOIndia Phir bullet train UP se delhi chalwani chahiye","2018-07-29 14:32:42","FALSE","0","0","1","Transportation","Delhi","India",FALSE
"8","@PiyushGoyal @RailMinIndia @IRCTCofficial  i am traveling in tamilnadu exp frm delhi 2 Chennai sir i must say the c  ","2018-07-29 14:21:53","FALSE","0","0","1","Transportation","Delhi","India",FALSE
"9","Spot on......Murdoch pays her a good wedge for writing her 'Book' and various articles for his hate rags. Gravy Tra  ","2018-07-29 14:19:43","FALSE","0","0","0","Transportation","Delhi","India",FALSE
"10","@spectatorindex @WHO My proposed SOLUTION FOR DELHI'S POLLUTION can solve Delhi's pollution and Plastic Pollution p  ","2018-07-29 13:46:11","FALSE","0","0","1","Transportation","Delhi","India",FALSE
"11","@PiyushGoyal @RailMinIndia  train number 54 472 Haridwar Delhi passenger            ","2018-07-29 13:34:55","FALSE","0","0","1","Transportation","Delhi","India",FALSE
"12","@wrdrmrjt SIR TRAIN N 19263 PORBANDAR DELHI  WEEKLY EXPRESS EXTENDED UP TO RISHIKESH GUJARAT PEOPLE DARSHAN UTTARAK  ","2018-07-29 13:23:13","FALSE","0","1","-2","Transportation","Delhi","India",FALSE
