"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @mrish_a: @narendramodi Definitely sir..YOU ARE DOING WELL..
But what about the far centers of CBT EXAM OF ALP AND RAILWAY .
I AM FROM B","2018-07-28 18:29:59","TRUE","1","0","0","Transportation","Bihar","India",FALSE
"2","@narendramodi Sir please focus on railway examiners center problem centers are very far away our home state / I am  ","2018-07-28 18:11:32","FALSE","0","1","-1","Transportation","Bihar","India",FALSE
"3","mr. rahul gandhi ji our examination centre for railway exam in chennai, hyderbad, bangalore. we belong  to bihar du  ","2018-07-28 18:10:05","FALSE","0","0","0","Transportation","Bihar","India",FALSE
"4","RT @SurajRa76750383: @PiyushGoyal @PiyushGoyalOffc Sir mai Sheikhpura Bihar ka rahne wala hu mera Railway ALP &amp; Technicians ka center Bhopa","2018-07-28 17:58:35","TRUE","1","0","0","Transportation","Bihar","India",FALSE
"5","@narendramodi Definitely sir..YOU ARE DOING WELL..
But what about the far centers of CBT EXAM OF ALP AND RAILWAY .  ","2018-07-28 17:54:08","FALSE","1","1","0","Transportation","Bihar","India",FALSE
"6","@narendramodi Hello sir, My self Raj from Bihar. Mai apke working style se kaafi impressed hu bt av kuch dino baad  ","2018-07-28 17:43:26","FALSE","0","0","1","Transportation","Bihar","India",FALSE
"7","RT @abpnewshindi:               , -       

ht","2018-07-28 17:40:40","TRUE","25","0","0","Transportation","Bihar","India",FALSE
"8","@PiyushGoyalOffc 
Kya piyush hotel sir,.
Aap to student ki jaan hi lenge 
Railway ke alp/etc.exam me,
Itni dur cent  ","2018-07-28 17:19:21","FALSE","0","0","0","Transportation","Bihar","India",FALSE
"9","@ravishndtv sir I m from bihar &amp; my railway examination centre is bhopal  I m not economically able to appear my examination.","2018-07-28 17:16:52","FALSE","0","0","0","Transportation","Bihar","India",FALSE
"10","RT @RatneshKr92: @PiyushGoyal @RailMinIndia @PMOIndia @RailMinIndia @narendramodi @rajnathsingh @rsprasad @SushilModi @BJP4India @BJPBiharS","2018-07-28 17:16:34","TRUE","2","0","0","Transportation","Bihar","India",FALSE
"11","@PiyushGoyal sir kind request u to related to railway examination centre.i m from bihar my examination centre is ve  ","2018-07-28 17:10:21","FALSE","0","0","0","Transportation","Bihar","India",FALSE
"12","@PMOIndia sir railway released admit card for the post of alp &amp; technician. I m from siwan Bihar and my exam city i  ","2018-07-28 17:02:57","FALSE","0","0","0","Transportation","Bihar","India",FALSE
"13","@PiyushGoyal I want to ask to Indian railway minister and pm. What is the basic alloting exam centre of alp&amp;tech. E  ","2018-07-28 17:02:43","FALSE","0","2","0","Transportation","Bihar","India",FALSE
"14","RT @abpnewshindi:               , -       

ht","2018-07-28 17:01:21","TRUE","25","0","0","Transportation","Bihar","India",TRUE
