"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @AskAnshul: Rs 3 crore in demonetized notes were seized from five people in Maharashtra when they came to exchange the notes in Raviwar","2018-07-29 04:30:15","TRUE","1187","0","-1","Real Estate Value","Maharashtra","India",FALSE
"2","Shree Ambe Maa Ka Mandir
Sukhlaji Marg, Dalal Estate, Kamathipura, Mumbai, Maharashtra 400008  ","2018-07-28 18:12:30","FALSE","0","2","-1","Real Estate Value","Maharashtra","India",FALSE
"3","RT @AskAnshul: Rs 3 crore in demonetized notes were seized from five people in Maharashtra when they came to exchange the notes in Raviwar","2018-07-28 15:54:00","TRUE","1187","0","-1","Real Estate Value","Maharashtra","India",TRUE
"4","RT @AskAnshul: Rs 3 crore in demonetized notes were seized from five people in Maharashtra when they came to exchange the notes in Raviwar","2018-07-28 15:51:10","TRUE","1187","0","0","Real Estate Value","Maharashtra","India",TRUE
"5"," : Business News, Stock Market, GST, Real Estate - Maharashtra Times  ","2018-07-28 15:02:14","FALSE","0","0","-1","Real Estate Value","Maharashtra","India",FALSE
"6","2bhk flat available for sell 2.35cr in Andheri West Mumbai Maharashtra
Call 7017027724
DASP Enterprises
Real estate  ","2018-07-28 14:08:17","FALSE","0","1","3","Real Estate Value","Maharashtra","India",FALSE
"7","Buy this exclusive designer kurti at Svayam Store

Svayam Store
Plot no. 4/A, Kandivali Co Operative Industrial Est  ","2018-07-28 04:46:54","FALSE","0","0","1","Real Estate Value","Maharashtra","India",FALSE
"8","@aparanjape Is it necessary priority in these times, to have 14 airports in Maharashtra! Resources are denied to 'r  ","2018-07-27 20:42:12","FALSE","0","0","1","Real Estate Value","Maharashtra","India",FALSE
"9","RT @vijayjdarda: Thank you Prajakta @IndiaVocal for such a brilliant coverage of 'Vishwakarma' - Unveiling of coffee-table book saluting re","2018-07-27 19:52:12","TRUE","5","0","0","Real Estate Value","Maharashtra","India",FALSE
"10","Condition of Post Office - Vasai East Industrial Estate. 401 208

India Post Mumbai GPO CMOMaharashtra
BJP Maharash  ","2018-07-27 15:08:50","FALSE","0","0","1","Real Estate Value","Maharashtra","India",FALSE
"11","Increased Property Purchase Costs  Hype Vs. Reality
Infrabuddy ANAROCK Property Real Estate Maharashtra  ","2018-07-27 12:47:11","FALSE","0","0","1","Real Estate Value","Maharashtra","India",FALSE
"12","sensex:  : Business News, Stock Market, GST, Real Estate - Maharashtra Times  ","2018-07-27 11:31:31","FALSE","0","0","-2","Real Estate Value","Maharashtra","India",FALSE
"13","RT @AskAnshul: Rs 3 crore in demonetized notes were seized from five people in Maharashtra when they came to exchange the notes in Raviwar","2018-07-27 08:12:12","TRUE","1187","0","1","Real Estate Value","Maharashtra","India",TRUE
"14","Urgently requirement of Sales Manager for Real Estate: Pune, Maharashtra - Designation : Sales Manager Location : P  ","2018-07-27 06:35:05","FALSE","0","0","0","Real Estate Value","Maharashtra","India",FALSE
"15","Buy this exclusive designer kurti at Svayam Store

Svayam Store
Plot no. 4/A, Kandivali Co Operative Industrial Est  ","2018-07-27 04:32:24","FALSE","0","0","1","Real Estate Value","Maharashtra","India",TRUE
"16","RT @MeChinya:    !  ","2018-07-27 03:23:04","TRUE","2","0","1","Real Estate Value","Maharashtra","India",FALSE
"17","RT @vijayjdarda: Thank you Prajakta @IndiaVocal for such a brilliant coverage of 'Vishwakarma' - Unveiling of coffee-table book saluting re","2018-07-26 17:49:57","TRUE","5","0","0","Real Estate Value","Maharashtra","India",TRUE
"18","RT @vijayjdarda: Thank you Prajakta @IndiaVocal for such a brilliant coverage of 'Vishwakarma' - Unveiling of coffee-table book saluting re","2018-07-26 15:53:19","TRUE","5","0","1","Real Estate Value","Maharashtra","India",TRUE
"19","RT @MumbaiPolice: Break the nexus of the unscrupulous property/ estate agents. Follow the rules &amp; complain to senior officers or on the fol","2018-07-26 14:30:47","TRUE","875","0","1","Real Estate Value","Maharashtra","India",FALSE
"20","RT @vijayjdarda: Thank you Prajakta @IndiaVocal for such a brilliant coverage of 'Vishwakarma' - Unveiling of coffee-table book saluting re","2018-07-26 12:57:48","TRUE","5","0","0","Real Estate Value","Maharashtra","India",TRUE
