"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","Kahaan China jaaraha hai?
People from all over the country are heading towards Kerala for jobs.
While Rajasthan, Gu  ","2018-07-29 13:45:56","FALSE","0","0","-1","Education","Rajasthan","India",FALSE
"2","RT @IIFLMarkets: IIFL Foundation runs one of the most ambitious education initiatives in India -Sakhiyon ki Badi - which aims 100% literacy","2018-07-29 11:48:00","TRUE","67","0","-1","Education","Rajasthan","India",FALSE
"3","RT @IIFLMarkets: IIFL Foundation runs one of the most ambitious education initiatives in India -Sakhiyon ki Badi - which aims 100% literacy","2018-07-29 10:57:04","TRUE","67","0","-1","Education","Rajasthan","India",TRUE
"4","@Shehzad_Ind @PositiveInd2019 Please @Shehzad_Ind bhai! Help these poor kids by tweeting this to @VasundharaBJP.Poo  ","2018-07-29 10:08:42","FALSE","0","0","0","Education","Rajasthan","India",FALSE
"5","@Shehzad_Ind @PositiveInd2019 Shehzad bhai! Its request to help these poor children by tweeting this message to  ","2018-07-29 09:59:42","FALSE","0","1","-1","Education","Rajasthan","India",FALSE
"6","RT @IIFLMarkets: IIFL Foundation runs one of the most ambitious education initiatives in India -Sakhiyon ki Badi - which aims 100% literacy","2018-07-29 09:41:08","TRUE","67","0","3","Education","Rajasthan","India",TRUE
"7","RT @IIFLMarkets: IIFL Foundation runs one of the most ambitious education initiatives in India -Sakhiyon ki Badi - which aims 100% literacy","2018-07-29 09:39:11","TRUE","67","0","1","Education","Rajasthan","India",TRUE
"8","RT @IIFLMarkets: IIFL Foundation runs one of the most ambitious education initiatives in India -Sakhiyon ki Badi - which aims 100% literacy","2018-07-29 09:37:17","TRUE","67","0","1","Education","Rajasthan","India",TRUE
"9","RT @IIFLMarkets: IIFL Foundation runs one of the most ambitious education initiatives in India -Sakhiyon ki Badi - which aims 100% literacy","2018-07-29 09:13:03","TRUE","67","0","0","Education","Rajasthan","India",TRUE
"10","RT @IIFLMarkets: IIFL Foundation runs one of the most ambitious education initiatives in India -Sakhiyon ki Badi - which aims 100% literacy","2018-07-29 08:44:23","TRUE","67","0","1","Education","Rajasthan","India",TRUE
"11","RT @bhatia_niraj23: Here are some changes that Vasundhara Government has done in Rajasthan textbooks re-writing false history .Save Educat","2018-07-29 08:40:04","TRUE","151","0","1","Education","Rajasthan","India",FALSE
"12","RT @IIFLMarkets: IIFL Foundation runs one of the most ambitious education initiatives in India -Sakhiyon ki Badi - which aims 100% literacy","2018-07-29 08:19:16","TRUE","67","0","-2","Education","Rajasthan","India",TRUE
"13","RT @IIFLMarkets: IIFL Foundation runs one of the most ambitious education initiatives in India -Sakhiyon ki Badi - which aims 100% literacy","2018-07-29 07:43:50","TRUE","67","0","1","Education","Rajasthan","India",TRUE
"14","RT @IIFLMarkets: IIFL Foundation runs one of the most ambitious education initiatives in India -Sakhiyon ki Badi - which aims 100% literacy","2018-07-29 07:02:45","TRUE","67","0","0","Education","Rajasthan","India",TRUE
"15","RT @Jindal__Saab: Always heard kota as the education hub of india then just watch this series to see kota as the city of Nature.

KotaCoac","2018-07-29 06:13:05","TRUE","1","0","1","Education","Rajasthan","India",FALSE
"16","Always heard kota as the education hub of india then just watch this series to see kota as the city of Nature.  ","2018-07-29 06:10:14","FALSE","1","0","1","Education","Rajasthan","India",FALSE
"17","RT @bhatia_niraj23: Here are some changes that Vasundhara Government has done in Rajasthan textbooks re-writing false history .Save Educat","2018-07-29 05:40:38","TRUE","151","0","0","Education","Rajasthan","India",TRUE
"18","RT @thewire_in: Rajasthan: Falling learning rates, fewer mid-day meals and lowest female literacy  ","2018-07-29 05:18:12","TRUE","59","0","1","Education","Rajasthan","India",FALSE
"19","RT @IIFLMarkets: IIFL Foundation runs one of the most ambitious education initiatives in India -Sakhiyon ki Badi - which aims 100% literacy","2018-07-29 05:15:44","TRUE","67","0","1","Education","Rajasthan","India",TRUE
"20","RT @IIFLMarkets: IIFL Foundation runs one of the most ambitious education initiatives in India -Sakhiyon ki Badi - which aims 100% literacy","2018-07-29 05:13:18","TRUE","67","0","0","Education","Rajasthan","India",TRUE
"21","RT @svaradarajan: Rajasthan govts odd teacher transfer order for BJP workers earns the ire of the opposition  ","2018-07-29 05:08:53","TRUE","149","0","0","Education","Rajasthan","India",FALSE
"22","@Amit_IND_85 @CNBCTV18News @msisodia @ShereenBhan @AamAadmiParty Haa it's Delhi not haryana, MP, rajasthan or up.  ","2018-07-29 05:05:51","FALSE","0","0","1","Education","Rajasthan","India",FALSE
"23","RT @IIFLMarkets: IIFL Foundation runs one of the most ambitious education initiatives in India -Sakhiyon ki Badi - which aims 100% literacy","2018-07-29 03:15:05","TRUE","67","0","0","Education","Rajasthan","India",TRUE
