"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","@Sam_Jags @ranjanp_indian @ZeeScorpio @Doctor_Sahiba @afghanfarzana1 @javerias @chintskap Kashmir for Kashmiris, Ta  ","2018-07-27 17:45:31","FALSE","0","1","0","Health","Assam","India",FALSE
"2","PMOIndia
Sir, APSC accused are trying to manage Magistrate, Police, Doctor, Laboratory, Journalist etc and offerin  ","2018-07-27 15:45:24","FALSE","0","0","0","Health","Assam","India",FALSE
"3","RT @pradeepraiindia: International Taekwondo player from Assam whose foetus was found in the @AirAsia plane is in hospital but one polit","2018-07-27 01:24:16","TRUE","13","0","0","Health","Assam","India",FALSE
"4","RT @pradeepraiindia: International Taekwondo player from Assam whose foetus was found in the @AirAsia plane is in hospital but one polit","2018-07-27 00:01:18","TRUE","13","0","0","Health","Assam","India",TRUE
"5","RT @pradeepraiindia: International Taekwondo player from Assam whose foetus was found in the @AirAsia plane is in hospital but one polit","2018-07-26 16:37:45","TRUE","13","0","0","Health","Assam","India",TRUE
"6","RT @pradeepraiindia: International Taekwondo player from Assam whose foetus was found in the @AirAsia plane is in hospital but one polit","2018-07-26 10:07:29","TRUE","13","0","0","Health","Assam","India",TRUE
"7","RT @pradeepraiindia: International Taekwondo player from Assam whose foetus was found in the @AirAsia plane is in hospital but one polit","2018-07-26 06:35:48","TRUE","13","0","0","Health","Assam","India",TRUE
"8","RT @pradeepraiindia: International Taekwondo player from Assam whose foetus was found in the @AirAsia plane is in hospital but one polit","2018-07-26 06:10:57","TRUE","13","0","0","Health","Assam","India",TRUE
"9","RT @pradeepraiindia: International Taekwondo player from Assam whose foetus was found in the @AirAsia plane is in hospital but one polit","2018-07-26 05:19:39","TRUE","13","0","0","Health","Assam","India",TRUE
"10","RT @pradeepraiindia: International Taekwondo player from Assam whose foetus was found in the @AirAsia plane is in hospital but one polit","2018-07-26 03:38:17","TRUE","13","0","0","Health","Assam","India",TRUE
"11","RT @pradeepraiindia: International Taekwondo player from Assam whose foetus was found in the @AirAsia plane is in hospital but one polit","2018-07-26 03:24:44","TRUE","13","0","0","Health","Assam","India",TRUE
"12","RT @pradeepraiindia: International Taekwondo player from Assam whose foetus was found in the @AirAsia plane is in hospital but one polit","2018-07-26 03:13:11","TRUE","13","0","0","Health","Assam","India",TRUE
"13","International Taekwondo player from Assam whose foetus was found in the @AirAsia plane is in hospital but one po  ","2018-07-26 02:42:41","FALSE","13","11","0","Health","Assam","India",FALSE
"14","RT @IndiaHistorypic: 1948 :: Dr. Talimeren Ao ,  Captain of First Indian Football Team Was a Doctor And Studied M.B.B.S  at Assam Medical","2018-07-24 13:09:05","TRUE","311","0","0","Health","Assam","India",FALSE
"15","A lemon a day keeps the doctor away. An effort to infuse tradition and technology towards creating entrepreneurs a  ","2018-07-24 11:19:11","FALSE","0","1","-1","Health","Assam","India",FALSE
"16","RT @kholihona: @nbhuyan9 Most of NE have thalassemia. This disease has no cure and require  blood transfusions. Shocking to know that most","2018-07-24 09:56:50","TRUE","2","0","0","Health","Assam","India",FALSE
"17","RT @kholihona: @nbhuyan9 Most of NE have thalassemia. This disease has no cure and require  blood transfusions. Shocking to know that most","2018-07-24 09:27:34","TRUE","2","0","0","Health","Assam","India",TRUE
