"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @sanatbiswasu: @indianarmy @adgpi I am a teacher in high school at West bengal.i want to know that how can I train OTA academy .","2018-07-28 17:38:19","TRUE","1","0","-1","Transportation","West Bengal","India",FALSE
"2","@indianarmy @adgpi I am a teacher in high school at West bengal.i want to know that how can I train OTA academy .","2018-07-28 17:19:33","FALSE","1","0","-1","Transportation","West Bengal","India",FALSE
"3","@rasam_yogesh @narendramodi @mkstalin @kalaignar89 Thik h yogesh bhai nearest to state deta West bengal, Jharkhand,  ","2018-07-28 00:51:26","FALSE","0","0","-1","Transportation","West Bengal","India",FALSE
"4","@PiyushGoyal Respect sir
I am belongs to bihar but currently job in Kolkata. My Alp exam centre is Bhopal, which is  ","2018-07-27 13:27:44","FALSE","0","0","0","Transportation","West Bengal","India",FALSE
"5","Road Overbridge Landslip Affects Train Services In West Bengal's Asansol  ","2018-07-27 09:53:12","FALSE","0","0","-1","Transportation","West Bengal","India",FALSE
"6","Road Overbridge Landslip Affects Train Services In West Bengal's Asansol  ","2018-07-27 09:41:26","FALSE","0","0","3","Transportation","West Bengal","India",TRUE
"7","Road Overbridge Landslip Affects Train Services In West Bengal's Asansol - NDTV  ","2018-07-27 07:47:30","FALSE","0","0","1","Transportation","West Bengal","India",FALSE
"8","RT @ndtv: Road overbridge landslip affects train services in West Bengal's Asansol  ","2018-07-27 07:44:44","TRUE","2","0","1","Transportation","West Bengal","India",FALSE
"9","Road overbridge landslip affects train services in West Bengal's Asansol  ","2018-07-27 07:34:48","FALSE","2","11","0","Transportation","West Bengal","India",FALSE
"10","Road Overbridge Landslip Affects Train Services In West Bengal's Asansol  ","2018-07-27 07:33:12","FALSE","0","0","1","Transportation","West Bengal","India",TRUE
"11","@TamalBandyo For the same reason, we need a bullet train so badly, West Bengal needs to be addressed as Bangla.","2018-07-27 04:10:47","FALSE","0","1","1","Transportation","West Bengal","India",FALSE
"12","@RailMinIndia ..sir i am travelling from naihati(west bengal) to samastipur (bihar)..my luggage got  ","2018-07-27 00:55:09","FALSE","0","0","-2","Transportation","West Bengal","India",FALSE
"13","Halt time of East coast train @ Sec'bd station should be atleast 15-20 minutes. Hardly stops for 5 - 7 mins &amp; not s  ","2018-07-26 20:07:42","FALSE","0","0","1","Transportation","West Bengal","India",FALSE
"14","@RailMinIndia Halt time of East coast at Sec'bd station should be atleast 15-20 minutes. Hardly stops for 5 - 7 min  ","2018-07-26 20:04:15","FALSE","0","0","0","Transportation","West Bengal","India",FALSE
"15","EISAMAY:       ","2018-07-26 13:16:12","FALSE","0","0","1","Transportation","West Bengal","India",FALSE
"16","RT @IndiaToday: Police said that Ghosh who jumped before a moving train also recorded a video before taking the drastic step. | @manogyaloi","2018-07-26 10:06:29","TRUE","3","0","1","Transportation","West Bengal","India",FALSE
"17","    
 ","2018-07-26 08:40:00","FALSE","0","2","0","Transportation","West Bengal","India",FALSE
"18","West Bengal: Man commits suicide after being blackmailed by girlfriend.

 ","2018-07-26 07:31:06","FALSE","0","0","1","Transportation","West Bengal","India",FALSE
"19","RT @IndiaToday: Police said that Ghosh who jumped before a moving train also recorded a video before taking the drastic step. | @manogyaloi","2018-07-26 04:58:04","TRUE","3","0","1","Transportation","West Bengal","India",TRUE
"20","@rpferhwh @ErRpf @RailwaySeva Train no. 12312 
Coach A3
Boarded from Allahabad Junction
Reserved till: Howrah stati  ","2018-07-26 04:22:33","FALSE","0","0","0","Transportation","West Bengal","India",FALSE
"21","Police said that Ghosh who jumped before a moving train also recorded a video before taking the drastic step. |  ","2018-07-26 04:17:18","FALSE","3","10","0","Transportation","West Bengal","India",FALSE
"22","West Bengal: Man commits suicide after being blackmailed by girlfriend - India Today  ","2018-07-26 03:02:41","FALSE","0","0","1","Transportation","West Bengal","India",FALSE
"23","RT @abulhasanat: @PiyushGoyalOffc Sir, What is the news of running train to Nashipur to Azimganj bridge (Murshidabad, West Bengal). Kindly","2018-07-25 18:07:02","TRUE","1","0","0","Transportation","West Bengal","India",FALSE
"24","Nahi nahi ji Nehru ne karayi thi Lynching Shuru
1947  Noakhali West Bengal  5000 Hindus were Lynched by Muslim Mo  ","2018-07-25 14:58:02","FALSE","0","0","1","Transportation","West Bengal","India",FALSE
"25","@maqbool_sm What about those who burnt train at Godhra station, killed Sikhs in Delhi, killed Hindus in West Bengal  ","2018-07-25 14:32:02","FALSE","0","2","0","Transportation","West Bengal","India",FALSE
"26","@PiyushGoyal @RailMinIndia Sir 
Main west bengal ke Murarai Dist birbhum se bol rahi hun. Humare yeha pe passengers  ","2018-07-25 12:28:03","FALSE","0","0","0","Transportation","West Bengal","India",FALSE
"27","Onlookers watch as person loses both legs after falling off train!..  ","2018-07-25 09:55:57","FALSE","0","0","1","Transportation","West Bengal","India",FALSE
"28","Whenever the train leaves the station, I feel some kind of free.

indianrailways train photoart @ West Bengal  ","2018-07-25 07:22:26","FALSE","0","0","1","Transportation","West Bengal","India",FALSE
"29","West bengal: West Bengal News in Bengali,  , West Bengal Bangla News - Eisamay  ","2018-07-25 02:34:06","FALSE","0","0","1","Transportation","West Bengal","India",FALSE
"30","Raincoat!!! 1/?

Wow!!! These songs are making me want to be in West Bengal... And not just in passing, in a  ","2018-07-24 13:13:41","FALSE","0","0","1","Transportation","West Bengal","India",FALSE
"31","@Mohamme22448467 @Swamy39 @AnoopChettiar Hindutva Terrorism?  ISIS, JeM, LeT, Hizbul, Taliban they r Hindus right  ","2018-07-24 11:13:17","FALSE","0","0","1","Transportation","West Bengal","India",FALSE
"32"," ","2018-07-24 07:39:24","FALSE","0","5","0","Transportation","West Bengal","India",FALSE
"33","Train Bhuj Shalimar exp train. We are following up at Kharagpur for the luggage but the luggage has not yet despatc  ","2018-07-24 06:31:17","FALSE","0","0","0","Transportation","West Bengal","India",FALSE
"34","@PiyushGoyal 
Train Bhuj Shalimar exp train. We are following up at Kharagpur for the luggage but the luggage has n  ","2018-07-24 06:25:52","FALSE","0","0","0","Transportation","West Bengal","India",FALSE
"35","RT @junglecrows: Help! @IRCTCofficial our West Bengal U18s rugby teams train has departed Madurai 4 hours late and the 24 children are supp","2018-07-23 14:02:47","TRUE","1","0","0","Transportation","West Bengal","India",FALSE
"36","@AmitShah met few people in sealdah delhi train,in short u don't have strong leadership in West Bengal.  ","2018-07-23 13:10:28","FALSE","0","0","1","Transportation","West Bengal","India",FALSE
"37","Help! @IRCTCofficial our West Bengal U18s rugby teams train has departed Madurai 4 hours late and the 24 children a  ","2018-07-23 09:35:37","FALSE","1","3","0","Transportation","West Bengal","India",FALSE
"38","@SHIFUJIJAIHIND I am a simple INDIAN. Sir, I like you too much. Can u help me to train West Bengal girl's. I Will b  ","2018-07-23 02:43:12","FALSE","0","0","-2","Transportation","West Bengal","India",FALSE
"39","@PiyushGoyal  
Sir pls think to introduce some reservation coaches for train no 22877 Hwh ers antodaya express. 
Re  ","2018-07-23 02:31:22","FALSE","0","0","0","Transportation","West Bengal","India",FALSE
"40","@TimesNow So many killed in Kashmir, Assam , West Bengal, Kerala, K'taka, 2002 train burning in Gujarat, and no one  ","2018-07-22 13:37:21","FALSE","0","1","0","Transportation","West Bengal","India",FALSE
"41","Get Train Tickiets FREE in West Bengal, If You Have Mamata Didi's photo in pocket 

TRAIN tickets @RailMinIndia  ","2018-07-21 17:04:22","FALSE","0","0","0","Transportation","West Bengal","India",FALSE
"42","RT @KN_KumarNishant: Train Wala Talent  Nice Singer..... 
incredibleindia incridiblewestbengal singer talentedsinger trainsinger mus","2018-07-21 10:13:03","TRUE","1","0","0","Transportation","West Bengal","India",FALSE
"43","Train Wala Talent  Nice Singer..... 
incredibleindia incridiblewestbengal singer talentedsinger trainsinger  ","2018-07-21 10:11:49","FALSE","1","0","0","Transportation","West Bengal","India",FALSE
"44","RT @Amitkhan1969gm1: CPIM RAIGANJ OF UttarDinajpur West Bengal submitted deputation to Rail Dept demanding more train facilities in the Dis","2018-07-21 04:18:47","TRUE","7","0","-1","Transportation","West Bengal","India",FALSE
"45","RT @Amitkhan1969gm1: CPIM RAIGANJ OF UttarDinajpur West Bengal submitted deputation to Rail Dept demanding more train facilities in the Dis","2018-07-20 17:12:47","TRUE","7","0","0","Transportation","West Bengal","India",TRUE
"46","RT @Amitkhan1969gm1: CPIM RAIGANJ OF UttarDinajpur West Bengal submitted deputation to Rail Dept demanding more train facilities in the Dis","2018-07-20 16:00:00","TRUE","7","0","0","Transportation","West Bengal","India",TRUE
"47","RT @Amitkhan1969gm1: CPIM RAIGANJ OF UttarDinajpur West Bengal submitted deputation to Rail Dept demanding more train facilities in the Dis","2018-07-20 06:56:53","TRUE","7","0","0","Transportation","West Bengal","India",TRUE
"48","RT @Amitkhan1969gm1: CPIM RAIGANJ OF UttarDinajpur West Bengal submitted deputation to Rail Dept demanding more train facilities in the Dis","2018-07-19 19:20:23","TRUE","7","0","0","Transportation","West Bengal","India",TRUE
"49","@sureshpprabhu Sir, I'm traveling in train no 12378(Padatik Exp), S6- 63. Full compartment had occupied lot of peop  ","2018-07-19 15:41:42","FALSE","0","0","0","Transportation","West Bengal","India",FALSE
"50","RT @Amitkhan1969gm1: CPIM RAIGANJ OF UttarDinajpur West Bengal submitted deputation to Rail Dept demanding more train facilities in the Dis","2018-07-19 11:19:04","TRUE","7","0","0","Transportation","West Bengal","India",TRUE
"51","CPIM RAIGANJ OF UttarDinajpur West Bengal submitted deputation to Rail Dept demanding more train facilities in the  ","2018-07-19 11:02:10","FALSE","7","11","0","Transportation","West Bengal","India",FALSE
"52","RT @sanatbiswasu: @indianarmy @adgpi I am a teacher in high school at West bengal.i want to know that how can I train OTA academy .","2018-07-28 17:38:19","TRUE","1","0","1","Transportation","West Bengal","India",TRUE
"53","@indianarmy @adgpi I am a teacher in high school at West bengal.i want to know that how can I train OTA academy .","2018-07-28 17:19:33","FALSE","1","0","1","Transportation","West Bengal","India",TRUE
"54","@rasam_yogesh @narendramodi @mkstalin @kalaignar89 Thik h yogesh bhai nearest to state deta West bengal, Jharkhand,  ","2018-07-28 00:51:26","FALSE","0","0","1","Transportation","West Bengal","India",TRUE
"55","@PiyushGoyal Respect sir
I am belongs to bihar but currently job in Kolkata. My Alp exam centre is Bhopal, which is  ","2018-07-27 13:27:44","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"56","Road Overbridge Landslip Affects Train Services In West Bengal's Asansol  ","2018-07-27 09:53:12","FALSE","0","0","1","Transportation","West Bengal","India",TRUE
"57","Road Overbridge Landslip Affects Train Services In West Bengal's Asansol  ","2018-07-27 09:41:26","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"58","Road Overbridge Landslip Affects Train Services In West Bengal's Asansol - NDTV  ","2018-07-27 07:47:30","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"59","RT @ndtv: Road overbridge landslip affects train services in West Bengal's Asansol  ","2018-07-27 07:44:44","TRUE","2","0","0","Transportation","West Bengal","India",TRUE
"60","Road overbridge landslip affects train services in West Bengal's Asansol  ","2018-07-27 07:34:48","FALSE","2","11","0","Transportation","West Bengal","India",TRUE
"61","Road Overbridge Landslip Affects Train Services In West Bengal's Asansol  ","2018-07-27 07:33:12","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"62","@TamalBandyo For the same reason, we need a bullet train so badly, West Bengal needs to be addressed as Bangla.","2018-07-27 04:10:47","FALSE","0","1","0","Transportation","West Bengal","India",TRUE
"63","@RailMinIndia ..sir i am travelling from naihati(west bengal) to samastipur (bihar)..my luggage got  ","2018-07-27 00:55:09","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"64","Halt time of East coast train @ Sec'bd station should be atleast 15-20 minutes. Hardly stops for 5 - 7 mins &amp; not s  ","2018-07-26 20:07:42","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"65","@RailMinIndia Halt time of East coast at Sec'bd station should be atleast 15-20 minutes. Hardly stops for 5 - 7 min  ","2018-07-26 20:04:15","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"66","EISAMAY:       ","2018-07-26 13:16:12","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"67","RT @IndiaToday: Police said that Ghosh who jumped before a moving train also recorded a video before taking the drastic step. | @manogyaloi","2018-07-26 10:06:29","TRUE","3","0","0","Transportation","West Bengal","India",TRUE
"68","    
 ","2018-07-26 08:40:00","FALSE","0","2","0","Transportation","West Bengal","India",TRUE
"69","West Bengal: Man commits suicide after being blackmailed by girlfriend.

 ","2018-07-26 07:31:06","FALSE","0","0","-2","Transportation","West Bengal","India",TRUE
"70","RT @IndiaToday: Police said that Ghosh who jumped before a moving train also recorded a video before taking the drastic step. | @manogyaloi","2018-07-26 04:58:04","TRUE","3","0","2","Transportation","West Bengal","India",TRUE
"71","@rpferhwh @ErRpf @RailwaySeva Train no. 12312 
Coach A3
Boarded from Allahabad Junction
Reserved till: Howrah stati  ","2018-07-26 04:22:33","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"72","Police said that Ghosh who jumped before a moving train also recorded a video before taking the drastic step. |  ","2018-07-26 04:17:18","FALSE","3","10","0","Transportation","West Bengal","India",TRUE
"73","West Bengal: Man commits suicide after being blackmailed by girlfriend - India Today  ","2018-07-26 03:02:41","FALSE","0","0","1","Transportation","West Bengal","India",TRUE
"74","RT @abulhasanat: @PiyushGoyalOffc Sir, What is the news of running train to Nashipur to Azimganj bridge (Murshidabad, West Bengal). Kindly","2018-07-25 18:07:02","TRUE","1","0","0","Transportation","West Bengal","India",TRUE
"75","Nahi nahi ji Nehru ne karayi thi Lynching Shuru
1947  Noakhali West Bengal  5000 Hindus were Lynched by Muslim Mo  ","2018-07-25 14:58:02","FALSE","0","0","1","Transportation","West Bengal","India",TRUE
"76","@maqbool_sm What about those who burnt train at Godhra station, killed Sikhs in Delhi, killed Hindus in West Bengal  ","2018-07-25 14:32:02","FALSE","0","2","0","Transportation","West Bengal","India",TRUE
"77","@PiyushGoyal @RailMinIndia Sir 
Main west bengal ke Murarai Dist birbhum se bol rahi hun. Humare yeha pe passengers  ","2018-07-25 12:28:03","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"78","Onlookers watch as person loses both legs after falling off train!..  ","2018-07-25 09:55:57","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"79","Whenever the train leaves the station, I feel some kind of free.

indianrailways train photoart @ West Bengal  ","2018-07-25 07:22:26","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"80","West bengal: West Bengal News in Bengali,  , West Bengal Bangla News - Eisamay  ","2018-07-25 02:34:06","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"81","Raincoat!!! 1/?

Wow!!! These songs are making me want to be in West Bengal... And not just in passing, in a  ","2018-07-24 13:13:41","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"82","@Mohamme22448467 @Swamy39 @AnoopChettiar Hindutva Terrorism?  ISIS, JeM, LeT, Hizbul, Taliban they r Hindus right  ","2018-07-24 11:13:17","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"83"," ","2018-07-24 07:39:24","FALSE","0","5","0","Transportation","West Bengal","India",TRUE
"84","Train Bhuj Shalimar exp train. We are following up at Kharagpur for the luggage but the luggage has not yet despatc  ","2018-07-24 06:31:17","FALSE","0","0","1","Transportation","West Bengal","India",TRUE
"85","@PiyushGoyal 
Train Bhuj Shalimar exp train. We are following up at Kharagpur for the luggage but the luggage has n  ","2018-07-24 06:25:52","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"86","RT @junglecrows: Help! @IRCTCofficial our West Bengal U18s rugby teams train has departed Madurai 4 hours late and the 24 children are supp","2018-07-23 14:02:47","TRUE","1","0","0","Transportation","West Bengal","India",TRUE
"87","@AmitShah met few people in sealdah delhi train,in short u don't have strong leadership in West Bengal.  ","2018-07-23 13:10:28","FALSE","0","0","1","Transportation","West Bengal","India",TRUE
"88","Help! @IRCTCofficial our West Bengal U18s rugby teams train has departed Madurai 4 hours late and the 24 children a  ","2018-07-23 09:35:37","FALSE","1","3","0","Transportation","West Bengal","India",TRUE
"89","@SHIFUJIJAIHIND I am a simple INDIAN. Sir, I like you too much. Can u help me to train West Bengal girl's. I Will b  ","2018-07-23 02:43:12","FALSE","0","0","1","Transportation","West Bengal","India",TRUE
"90","@PiyushGoyal  
Sir pls think to introduce some reservation coaches for train no 22877 Hwh ers antodaya express. 
Re  ","2018-07-23 02:31:22","FALSE","0","0","1","Transportation","West Bengal","India",TRUE
"91","@TimesNow So many killed in Kashmir, Assam , West Bengal, Kerala, K'taka, 2002 train burning in Gujarat, and no one  ","2018-07-22 13:37:21","FALSE","0","1","0","Transportation","West Bengal","India",TRUE
"92","Get Train Tickiets FREE in West Bengal, If You Have Mamata Didi's photo in pocket 

TRAIN tickets @RailMinIndia  ","2018-07-21 17:04:22","FALSE","0","0","1","Transportation","West Bengal","India",TRUE
"93","RT @KN_KumarNishant: Train Wala Talent  Nice Singer..... 
incredibleindia incridiblewestbengal singer talentedsinger trainsinger mus","2018-07-21 10:13:03","TRUE","1","0","0","Transportation","West Bengal","India",TRUE
"94","Train Wala Talent  Nice Singer..... 
incredibleindia incridiblewestbengal singer talentedsinger trainsinger  ","2018-07-21 10:11:49","FALSE","1","0","0","Transportation","West Bengal","India",TRUE
"95","RT @Amitkhan1969gm1: CPIM RAIGANJ OF UttarDinajpur West Bengal submitted deputation to Rail Dept demanding more train facilities in the Dis","2018-07-21 04:18:47","TRUE","7","0","0","Transportation","West Bengal","India",TRUE
"96","RT @Amitkhan1969gm1: CPIM RAIGANJ OF UttarDinajpur West Bengal submitted deputation to Rail Dept demanding more train facilities in the Dis","2018-07-20 17:12:47","TRUE","7","0","0","Transportation","West Bengal","India",TRUE
"97","RT @Amitkhan1969gm1: CPIM RAIGANJ OF UttarDinajpur West Bengal submitted deputation to Rail Dept demanding more train facilities in the Dis","2018-07-20 16:00:00","TRUE","7","0","0","Transportation","West Bengal","India",TRUE
"98","RT @Amitkhan1969gm1: CPIM RAIGANJ OF UttarDinajpur West Bengal submitted deputation to Rail Dept demanding more train facilities in the Dis","2018-07-20 06:56:53","TRUE","7","0","0","Transportation","West Bengal","India",TRUE
"99","RT @Amitkhan1969gm1: CPIM RAIGANJ OF UttarDinajpur West Bengal submitted deputation to Rail Dept demanding more train facilities in the Dis","2018-07-19 19:20:23","TRUE","7","0","0","Transportation","West Bengal","India",TRUE
"100","@sureshpprabhu Sir, I'm traveling in train no 12378(Padatik Exp), S6- 63. Full compartment had occupied lot of peop  ","2018-07-19 15:41:42","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"101","RT @Amitkhan1969gm1: CPIM RAIGANJ OF UttarDinajpur West Bengal submitted deputation to Rail Dept demanding more train facilities in the Dis","2018-07-19 11:19:04","TRUE","7","0","0","Transportation","West Bengal","India",TRUE
"102","CPIM RAIGANJ OF UttarDinajpur West Bengal submitted deputation to Rail Dept demanding more train facilities in the  ","2018-07-19 11:02:10","FALSE","7","11","1","Transportation","West Bengal","India",TRUE
"103","RT @sanatbiswasu: @indianarmy @adgpi I am a teacher in high school at West bengal.i want to know that how can I train OTA academy .","2018-07-28 17:38:19","TRUE","1","0","-2","Transportation","West Bengal","India",TRUE
"104","@indianarmy @adgpi I am a teacher in high school at West bengal.i want to know that how can I train OTA academy .","2018-07-28 17:19:33","FALSE","1","0","0","Transportation","West Bengal","India",TRUE
"105","@rasam_yogesh @narendramodi @mkstalin @kalaignar89 Thik h yogesh bhai nearest to state deta West bengal, Jharkhand,  ","2018-07-28 00:51:26","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"106","@PiyushGoyal Respect sir
I am belongs to bihar but currently job in Kolkata. My Alp exam centre is Bhopal, which is  ","2018-07-27 13:27:44","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"107","Road Overbridge Landslip Affects Train Services In West Bengal's Asansol  ","2018-07-27 09:53:12","FALSE","0","0","-1","Transportation","West Bengal","India",TRUE
"108","Road Overbridge Landslip Affects Train Services In West Bengal's Asansol  ","2018-07-27 09:41:26","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"109","Road Overbridge Landslip Affects Train Services In West Bengal's Asansol - NDTV  ","2018-07-27 07:47:30","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"110","RT @ndtv: Road overbridge landslip affects train services in West Bengal's Asansol  ","2018-07-27 07:44:44","TRUE","2","0","-1","Transportation","West Bengal","India",TRUE
"111","Road overbridge landslip affects train services in West Bengal's Asansol  ","2018-07-27 07:34:48","FALSE","2","11","-1","Transportation","West Bengal","India",TRUE
"112","Road Overbridge Landslip Affects Train Services In West Bengal's Asansol  ","2018-07-27 07:33:12","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"113","@TamalBandyo For the same reason, we need a bullet train so badly, West Bengal needs to be addressed as Bangla.","2018-07-27 04:10:47","FALSE","0","1","1","Transportation","West Bengal","India",TRUE
"114","@RailMinIndia ..sir i am travelling from naihati(west bengal) to samastipur (bihar)..my luggage got  ","2018-07-27 00:55:09","FALSE","0","0","1","Transportation","West Bengal","India",TRUE
"115","Halt time of East coast train @ Sec'bd station should be atleast 15-20 minutes. Hardly stops for 5 - 7 mins &amp; not s  ","2018-07-26 20:07:42","FALSE","0","0","1","Transportation","West Bengal","India",TRUE
"116","@RailMinIndia Halt time of East coast at Sec'bd station should be atleast 15-20 minutes. Hardly stops for 5 - 7 min  ","2018-07-26 20:04:15","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"117","EISAMAY:       ","2018-07-26 13:16:12","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"118","RT @IndiaToday: Police said that Ghosh who jumped before a moving train also recorded a video before taking the drastic step. | @manogyaloi","2018-07-26 10:06:29","TRUE","3","0","0","Transportation","West Bengal","India",TRUE
"119","    
 ","2018-07-26 08:40:00","FALSE","0","2","0","Transportation","West Bengal","India",TRUE
"120","West Bengal: Man commits suicide after being blackmailed by girlfriend.

 ","2018-07-26 07:31:06","FALSE","0","0","1","Transportation","West Bengal","India",TRUE
"121","RT @IndiaToday: Police said that Ghosh who jumped before a moving train also recorded a video before taking the drastic step. | @manogyaloi","2018-07-26 04:58:04","TRUE","3","0","1","Transportation","West Bengal","India",TRUE
"122","@rpferhwh @ErRpf @RailwaySeva Train no. 12312 
Coach A3
Boarded from Allahabad Junction
Reserved till: Howrah stati  ","2018-07-26 04:22:33","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"123","Police said that Ghosh who jumped before a moving train also recorded a video before taking the drastic step. |  ","2018-07-26 04:17:18","FALSE","3","10","0","Transportation","West Bengal","India",TRUE
"124","West Bengal: Man commits suicide after being blackmailed by girlfriend - India Today  ","2018-07-26 03:02:41","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"125","RT @abulhasanat: @PiyushGoyalOffc Sir, What is the news of running train to Nashipur to Azimganj bridge (Murshidabad, West Bengal). Kindly","2018-07-25 18:07:02","TRUE","1","0","0","Transportation","West Bengal","India",TRUE
"126","Nahi nahi ji Nehru ne karayi thi Lynching Shuru
1947  Noakhali West Bengal  5000 Hindus were Lynched by Muslim Mo  ","2018-07-25 14:58:02","FALSE","0","0","-2","Transportation","West Bengal","India",TRUE
"127","@maqbool_sm What about those who burnt train at Godhra station, killed Sikhs in Delhi, killed Hindus in West Bengal  ","2018-07-25 14:32:02","FALSE","0","2","0","Transportation","West Bengal","India",TRUE
"128","@PiyushGoyal @RailMinIndia Sir 
Main west bengal ke Murarai Dist birbhum se bol rahi hun. Humare yeha pe passengers  ","2018-07-25 12:28:03","FALSE","0","0","1","Transportation","West Bengal","India",TRUE
"129","Onlookers watch as person loses both legs after falling off train!..  ","2018-07-25 09:55:57","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"130","Whenever the train leaves the station, I feel some kind of free.

indianrailways train photoart @ West Bengal  ","2018-07-25 07:22:26","FALSE","0","0","0","Transportation","West Bengal","India",TRUE
"131","West bengal: West Bengal News in Bengali,  , West Bengal Bangla News - Eisamay  ","2018-07-25 02:34:06","FALSE","0","0","-1","Transportation","West Bengal","India",TRUE
"132","Raincoat!!! 1/?

Wow!!! These songs are making me want to be in West Bengal... And not just in passing, in a  ","2018-07-24 13:13:41","FALSE","0","0","-2","Transportation","West Bengal","India",TRUE
