"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @drramansingh: Another achievement to Chhattisgarh's credit! Ranked 1st in the 'Property Registration' category of EaseOfDoingBusiness","2018-07-25 09:59:40","TRUE","103","0","1","Real Estate Value","Chhattisgarh","India",FALSE
"2","Its appreciating time by Chhattisgarh Government they  aims to facilitate investment, foster innovation, enhance sk  ","2018-07-23 14:25:31","FALSE","0","0","3","Real Estate Value","Chhattisgarh","India",FALSE
"3","Chhattisgarh aims to facilitate investment, foster innovation, enhance skill development, protect intellectual prop  ","2018-07-23 13:00:06","FALSE","0","1","5","Real Estate Value","Chhattisgarh","India",FALSE
"4","Chhattisgarh aims to facilitate investment, foster innovation, enhance skill development, protect intellectual prop  ","2018-07-23 12:36:09","FALSE","0","0","5","Real Estate Value","Chhattisgarh","India",TRUE
"5","Chhattisgarh aims to enhance skill development, protect intellectual property and build best-in-class infrastructur  ","2018-07-23 12:07:44","FALSE","0","0","3","Real Estate Value","Chhattisgarh","India",FALSE
"6","RT @Poonam_Mishra0: Chhattisgarh aims to enhance skill development, protect intellectual property and build best-in-class infrastructure. ","2018-07-23 12:05:40","TRUE","1","0","3","Real Estate Value","Chhattisgarh","India",FALSE
"7","Chhattisgarh aims to enhance skill development, protect intellectual property and build best-in-class infrastructur  ","2018-07-23 11:55:27","FALSE","1","2","3","Real Estate Value","Chhattisgarh","India",TRUE
"8","Chhattisgarh aims to facilitate investment, foster innovation, enhance skill development, protect intellectual prop  ","2018-07-23 11:54:17","FALSE","0","0","5","Real Estate Value","Chhattisgarh","India",TRUE
"9","Chhattisgarh aims to enhance skill development, protect intellectual property and build best-in-class infrastructur  ","2018-07-23 11:49:36","FALSE","0","2","3","Real Estate Value","Chhattisgarh","India",TRUE
"10","Foster innovation, enhance skill development, protect intellectual property and build best-in-class this is the aim  ","2018-07-23 11:42:38","FALSE","0","0","4","Real Estate Value","Chhattisgarh","India",FALSE
"11","Chhattisgarh is aiming to facilitate investment, foster innovation, enhance skill development, protect intellectual  ","2018-07-23 11:40:40","FALSE","0","0","5","Real Estate Value","Chhattisgarh","India",FALSE
"12","Chhattisgarh is best destination for high end businesses.. aims to facilitate investment, foster innovation, enhanc  ","2018-07-23 11:36:46","FALSE","0","0","3","Real Estate Value","Chhattisgarh","India",FALSE
"13","Chhattisgarh is now aiming to facilitate investments, foster innovation, enhance skill development, protect intelle  ","2018-07-23 11:31:02","FALSE","0","0","5","Real Estate Value","Chhattisgarh","India",FALSE
"14","Chhattisgarh is a hot destination for high end businesses.. aims to facilitate investment, foster innovation, enhan  ","2018-07-23 11:30:50","FALSE","0","2","3","Real Estate Value","Chhattisgarh","India",FALSE
"15","@THETCCWORLDTCC is the life of investors. TCC giving 2nd chance to generate/strength your property/back bone of fut  ","2018-07-22 09:43:50","FALSE","0","0","0","Real Estate Value","Chhattisgarh","India",FALSE
"16","@THETCCWORLD TCC is the life of investors. TCC giving 2nd chance to generate/strength your property/back bone of fu  ","2018-07-22 09:42:08","FALSE","0","0","0","Real Estate Value","Chhattisgarh","India",FALSE
"17","RT @sifbareilly: Why do people takes such extreme measures? What encourages them? 
CrimeByWomen

 ","2018-07-21 09:10:07","TRUE","8","0","0","Real Estate Value","Chhattisgarh","India",FALSE
"18","RT @DealingWithEvil:       

@HelpAgeIndia_
Save our elderly people from ElderAbuse by JalimBahu

@MinistryWC","2018-07-21 05:28:10","TRUE","28","0","0","Real Estate Value","Chhattisgarh","India",FALSE
"19","RT @DealingWithEvil:       

@HelpAgeIndia_
Save our elderly people from ElderAbuse by JalimBahu

@MinistryWC","2018-07-21 05:25:32","TRUE","28","0","0","Real Estate Value","Chhattisgarh","India",TRUE
"20","RT @AudaciousQuest: In this country a Babri Masjid can be broken, statues can be broken, law can b broken, but a window can't be broken to","2018-07-20 02:03:38","TRUE","88","0","-4","Real Estate Value","Chhattisgarh","India",FALSE
"21","RT @AudaciousQuest: In this country a Babri Masjid can be broken, statues can be broken, law can b broken, but a window can't be broken to","2018-07-19 13:08:26","TRUE","88","0","-4","Real Estate Value","Chhattisgarh","India",TRUE
"22","RT @AudaciousQuest: In this country a Babri Masjid can be broken, statues can be broken, law can b broken, but a window can't be broken to","2018-07-19 12:16:37","TRUE","88","0","-4","Real Estate Value","Chhattisgarh","India",TRUE
"23","RT @AudaciousQuest: In this country a Babri Masjid can be broken, statues can be broken, law can b broken, but a window can't be broken to","2018-07-19 11:56:36","TRUE","88","0","-4","Real Estate Value","Chhattisgarh","India",TRUE
"24","RT @AudaciousQuest: In this country a Babri Masjid can be broken, statues can be broken, law can b broken, but a window can't be broken to","2018-07-19 11:19:07","TRUE","88","0","-4","Real Estate Value","Chhattisgarh","India",TRUE
"25","RT @AudaciousQuest: In this country a Babri Masjid can be broken, statues can be broken, law can b broken, but a window can't be broken to","2018-07-19 09:57:01","TRUE","88","0","-4","Real Estate Value","Chhattisgarh","India",TRUE
"26","RT @AudaciousQuest: In this country a Babri Masjid can be broken, statues can be broken, law can b broken, but a window can't be broken to","2018-07-19 09:48:08","TRUE","88","0","-4","Real Estate Value","Chhattisgarh","India",TRUE
"27","RT @AudaciousQuest: In this country a Babri Masjid can be broken, statues can be broken, law can b broken, but a window can't be broken to","2018-07-19 07:30:33","TRUE","88","0","-4","Real Estate Value","Chhattisgarh","India",TRUE
"28","RT @KarunaSagili: Life lost. Its paining to see news like this.... did the ambulance guys stopped the father from breaking the glass as it","2018-07-19 07:15:29","TRUE","2","0","-1","Real Estate Value","Chhattisgarh","India",FALSE
"29","RT @AudaciousQuest: In this country a Babri Masjid can be broken, statues can be broken, law can b broken, but a window can't be broken to","2018-07-19 07:06:22","TRUE","88","0","-4","Real Estate Value","Chhattisgarh","India",TRUE
"30","RT @AudaciousQuest: In this country a Babri Masjid can be broken, statues can be broken, law can b broken, but a window can't be broken to","2018-07-19 06:21:14","TRUE","88","0","-4","Real Estate Value","Chhattisgarh","India",TRUE
"31","RT @AudaciousQuest: In this country a Babri Masjid can be broken, statues can be broken, law can b broken, but a window can't be broken to","2018-07-19 05:43:40","TRUE","88","0","-4","Real Estate Value","Chhattisgarh","India",TRUE
"32","RT @AudaciousQuest: In this country a Babri Masjid can be broken, statues can be broken, law can b broken, but a window can't be broken to","2018-07-19 05:36:57","TRUE","88","0","-4","Real Estate Value","Chhattisgarh","India",TRUE
"33","RT @AudaciousQuest: In this country a Babri Masjid can be broken, statues can be broken, law can b broken, but a window can't be broken to","2018-07-19 05:25:45","TRUE","88","0","-4","Real Estate Value","Chhattisgarh","India",TRUE
"34","RT @AudaciousQuest: In this country a Babri Masjid can be broken, statues can be broken, law can b broken, but a window can't be broken to","2018-07-19 03:53:30","TRUE","88","0","-4","Real Estate Value","Chhattisgarh","India",TRUE
"35","RT @AudaciousQuest: In this country a Babri Masjid can be broken, statues can be broken, law can b broken, but a window can't be broken to","2018-07-19 03:51:36","TRUE","88","0","-4","Real Estate Value","Chhattisgarh","India",TRUE
"36","RT @AudaciousQuest: In this country a Babri Masjid can be broken, statues can be broken, law can b broken, but a window can't be broken to","2018-07-19 03:49:54","TRUE","88","0","-4","Real Estate Value","Chhattisgarh","India",TRUE
"37","RT @AudaciousQuest: In this country a Babri Masjid can be broken, statues can be broken, law can b broken, but a window can't be broken to","2018-07-19 03:37:39","TRUE","88","0","-4","Real Estate Value","Chhattisgarh","India",TRUE
"38","RT @AudaciousQuest: In this country a Babri Masjid can be broken, statues can be broken, law can b broken, but a window can't be broken to","2018-07-19 03:03:22","TRUE","88","0","-4","Real Estate Value","Chhattisgarh","India",TRUE
"39","RT @AudaciousQuest: In this country a Babri Masjid can be broken, statues can be broken, law can b broken, but a window can't be broken to","2018-07-19 02:49:26","TRUE","88","0","-4","Real Estate Value","Chhattisgarh","India",TRUE
"40","RT @AudaciousQuest: In this country a Babri Masjid can be broken, statues can be broken, law can b broken, but a window can't be broken to","2018-07-19 01:26:58","TRUE","88","0","-4","Real Estate Value","Chhattisgarh","India",TRUE
"41","RT @AudaciousQuest: In this country a Babri Masjid can be broken, statues can be broken, law can b broken, but a window can't be broken to","2018-07-19 00:43:45","TRUE","88","0","-4","Real Estate Value","Chhattisgarh","India",TRUE
"42","RT @AudaciousQuest: In this country a Babri Masjid can be broken, statues can be broken, law can b broken, but a window can't be broken to","2018-07-18 21:20:56","TRUE","88","0","-4","Real Estate Value","Chhattisgarh","India",TRUE
"43","RT @AudaciousQuest: In this country a Babri Masjid can be broken, statues can be broken, law can b broken, but a window can't be broken to","2018-07-18 20:59:01","TRUE","88","0","-4","Real Estate Value","Chhattisgarh","India",TRUE
"44","RT @AudaciousQuest: In this country a Babri Masjid can be broken, statues can be broken, law can b broken, but a window can't be broken to","2018-07-18 20:02:24","TRUE","88","0","-4","Real Estate Value","Chhattisgarh","India",TRUE
"45","RT @AudaciousQuest: In this country a Babri Masjid can be broken, statues can be broken, law can b broken, but a window can't be broken to","2018-07-18 18:35:56","TRUE","88","0","-4","Real Estate Value","Chhattisgarh","India",TRUE
"46","RT @AudaciousQuest: In this country a Babri Masjid can be broken, statues can be broken, law can b broken, but a window can't be broken to","2018-07-18 17:37:42","TRUE","88","0","-4","Real Estate Value","Chhattisgarh","India",TRUE
"47","RT @AudaciousQuest: In this country a Babri Masjid can be broken, statues can be broken, law can b broken, but a window can't be broken to","2018-07-18 17:32:10","TRUE","88","0","-4","Real Estate Value","Chhattisgarh","India",TRUE
"48","RT @AudaciousQuest: In this country a Babri Masjid can be broken, statues can be broken, law can b broken, but a window can't be broken to","2018-07-18 17:25:02","TRUE","88","0","-4","Real Estate Value","Chhattisgarh","India",TRUE
"49","RT @AudaciousQuest: In this country a Babri Masjid can be broken, statues can be broken, law can b broken, but a window can't be broken to","2018-07-18 17:24:20","TRUE","88","0","-4","Real Estate Value","Chhattisgarh","India",TRUE
"50","RT @AudaciousQuest: In this country a Babri Masjid can be broken, statues can be broken, law can b broken, but a window can't be broken to","2018-07-18 17:20:22","TRUE","88","0","-4","Real Estate Value","Chhattisgarh","India",TRUE
"51","RT @AudaciousQuest: In this country a Babri Masjid can be broken, statues can be broken, law can b broken, but a window can't be broken to","2018-07-18 17:13:16","TRUE","88","0","-4","Real Estate Value","Chhattisgarh","India",TRUE
"52","RT @AudaciousQuest: In this country a Babri Masjid can be broken, statues can be broken, law can b broken, but a window can't be broken to","2018-07-18 16:43:52","TRUE","88","0","-4","Real Estate Value","Chhattisgarh","India",TRUE
"53","RT @AudaciousQuest: In this country a Babri Masjid can be broken, statues can be broken, law can b broken, but a window can't be broken to","2018-07-18 16:11:53","TRUE","88","0","-4","Real Estate Value","Chhattisgarh","India",TRUE
"54","RT @AudaciousQuest: In this country a Babri Masjid can be broken, statues can be broken, law can b broken, but a window can't be broken to","2018-07-18 15:47:20","TRUE","88","0","-4","Real Estate Value","Chhattisgarh","India",TRUE
"55","RT @AudaciousQuest: In this country a Babri Masjid can be broken, statues can be broken, law can b broken, but a window can't be broken to","2018-07-18 15:24:46","TRUE","88","0","-4","Real Estate Value","Chhattisgarh","India",TRUE
"56","RT @AudaciousQuest: In this country a Babri Masjid can be broken, statues can be broken, law can b broken, but a window can't be broken to","2018-07-18 15:16:57","TRUE","88","0","-4","Real Estate Value","Chhattisgarh","India",TRUE
"57","RT @AudaciousQuest: In this country a Babri Masjid can be broken, statues can be broken, law can b broken, but a window can't be broken to","2018-07-18 14:24:19","TRUE","88","0","-4","Real Estate Value","Chhattisgarh","India",TRUE
"58","RT @AudaciousQuest: In this country a Babri Masjid can be broken, statues can be broken, law can b broken, but a window can't be broken to","2018-07-18 13:45:38","TRUE","88","0","-4","Real Estate Value","Chhattisgarh","India",TRUE
"59","RT @AudaciousQuest: In this country a Babri Masjid can be broken, statues can be broken, law can b broken, but a window can't be broken to","2018-07-18 13:15:40","TRUE","88","0","-4","Real Estate Value","Chhattisgarh","India",TRUE
"60","RT @DealingWithEvil:       

@HelpAgeIndia_
Save our elderly people from ElderAbuse by JalimBahu

@MinistryWC","2018-07-18 12:38:29","TRUE","28","0","0","Real Estate Value","Chhattisgarh","India",TRUE
"61","RT @AudaciousQuest: In this country a Babri Masjid can be broken, statues can be broken, law can b broken, but a window can't be broken to","2018-07-18 11:36:01","TRUE","88","0","-4","Real Estate Value","Chhattisgarh","India",TRUE
"62","RT @AudaciousQuest: In this country a Babri Masjid can be broken, statues can be broken, law can b broken, but a window can't be broken to","2018-07-18 11:30:14","TRUE","88","0","-4","Real Estate Value","Chhattisgarh","India",TRUE
"63","RT @AudaciousQuest: In this country a Babri Masjid can be broken, statues can be broken, law can b broken, but a window can't be broken to","2018-07-18 11:19:25","TRUE","88","0","-4","Real Estate Value","Chhattisgarh","India",TRUE
"64","RT @AudaciousQuest: In this country a Babri Masjid can be broken, statues can be broken, law can b broken, but a window can't be broken to","2018-07-18 10:45:20","TRUE","88","0","-4","Real Estate Value","Chhattisgarh","India",TRUE
"65","RT @abhaykishoreinh: Heart patient child dies due to suffocation inside Sanjeevani medical van in Chhattisgarh as door is locked. Driver re","2018-07-18 10:31:09","TRUE","2","0","0","Real Estate Value","Chhattisgarh","India",FALSE
