"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","@PTI_News @TV9Marathi @MiLOKMAT @LoksattaLive @pudharionline @NavbharatTimes @ShivSena @mnsadhikrut @NCPspeaks  ","2018-07-29 08:32:30","FALSE","0","0","-1","Culture","Maharashtra","India",FALSE
"2","@incredibleindia Truly, we have incredible places, architecture, history, wildlife, culture. Unfortunately, more I  ","2018-07-29 05:48:49","FALSE","0","0","-1","Culture","Maharashtra","India",FALSE
"3","@edmundmichael77 Maharashtra culture?  ","2018-07-29 04:24:39","FALSE","0","1","-1","Culture","Maharashtra","India",FALSE
"4","@Mohanra22247462 @NileshD87972393 yes his words are abusive......but Maharashtra is far ahead ..of Tamilnadu......  ","2018-07-29 01:38:54","FALSE","0","1","0","Culture","Maharashtra","India",FALSE
"5","Presenting you a pic from 2011...
.
.
.
.
.
.
IndiaMaharashtramumbaiwanderlusttraveltraveldiariesbuilding  ","2018-07-28 18:03:41","FALSE","0","0","-1","Culture","Maharashtra","India",FALSE
"6","RT @smitadeshmukh: It is a speciality of entire Maharashtra. Such hate for my culture and food...Hey @scroll_in  what quality journos you h","2018-07-28 13:31:19","TRUE","6","0","3","Culture","Maharashtra","India",FALSE
"7","@mahi_ms306 Blue jeans, McDonald's, KFC, Pizza Hut, Valentine day also is not your culture.

Indians are indulging  ","2018-07-28 12:47:22","FALSE","0","0","1","Culture","Maharashtra","India",FALSE
"8","RT @smitadeshmukh: It is a speciality of entire Maharashtra. Such hate for my culture and food...Hey @scroll_in  what quality journos you h","2018-07-28 12:03:22","TRUE","6","0","1","Culture","Maharashtra","India",TRUE
"9","RT @smitadeshmukh: It is a speciality of entire Maharashtra. Such hate for my culture and food...Hey @scroll_in  what quality journos you h","2018-07-28 08:02:34","TRUE","6","0","0","Culture","Maharashtra","India",TRUE
"10","RT @sureshs60145593: A.vaithyanathan - born in jamshedpur origin from jharkand
Aiswarya Dutta -well know as Bengali
Yashika anaand -only bo","2018-07-28 07:36:52","TRUE","1","0","1","Culture","Maharashtra","India",FALSE
"11","@RajThackeray @mnsadhikrut Want to bring to your notice that work culture in private companies of India is full of  ","2018-07-28 06:23:49","FALSE","0","0","1","Culture","Maharashtra","India",FALSE
"12","@GuruprasadGudi As a matter of fact, the Kannada dialect spoken in north Karnataka above the Haveri region is stron  ","2018-07-28 06:18:05","FALSE","0","0","-2","Culture","Maharashtra","India",FALSE
"13","RT @smitadeshmukh: It is a speciality of entire Maharashtra. Such hate for my culture and food...Hey @scroll_in  what quality journos you h","2018-07-28 05:45:08","TRUE","6","0","1","Culture","Maharashtra","India",TRUE
"14","RT @smitadeshmukh: It is a speciality of entire Maharashtra. Such hate for my culture and food...Hey @scroll_in  what quality journos you h","2018-07-28 04:37:53","TRUE","6","0","0","Culture","Maharashtra","India",TRUE
"15","RT @smitadeshmukh: It is a speciality of entire Maharashtra. Such hate for my culture and food...Hey @scroll_in  what quality journos you h","2018-07-28 01:57:59","TRUE","6","0","1","Culture","Maharashtra","India",TRUE
"16","It is a speciality of entire Maharashtra. Such hate for my culture and food...Hey @scroll_in  what quality journos  ","2018-07-27 16:37:01","FALSE","6","12","1","Culture","Maharashtra","India",FALSE
"17","RT @AndhraPortal: As explained in this thread, not coincidental that Karnataka, Andhra, &amp; Maharashtra are focus of bifurcation. BIF wan","2018-07-27 02:53:53","TRUE","3","0","0","Culture","Maharashtra","India",FALSE
"18","RT @AndhraPortal: As explained in this thread, not coincidental that Karnataka, Andhra, &amp; Maharashtra are focus of bifurcation. BIF wan","2018-07-27 02:13:36","TRUE","3","0","1","Culture","Maharashtra","India",TRUE
"19","RT @AndhraPortal: As explained in this thread, not coincidental that Karnataka, Andhra, &amp; Maharashtra are focus of bifurcation. BIF wan","2018-07-27 01:59:59","TRUE","3","0","1","Culture","Maharashtra","India",TRUE
"20","As explained in this thread, not coincidental that Karnataka, Andhra, &amp; Maharashtra are focus of bifurcation.  ","2018-07-27 01:42:07","FALSE","3","1","0","Culture","Maharashtra","India",FALSE
"21","@SamKhan999 @kodlady @adarsh_938 Ok, but I assume you aren't familiar with rest of Karnataka. North Canara &amp; Madike  ","2018-07-26 05:30:02","FALSE","0","0","0","Culture","Maharashtra","India",FALSE
"22","RT @AbhiTalukdar: MarathaReservationProtest MarathaQuotaStir MarathaKrantiMorcha QuotaCrisisErupts  MarathaReservation MumbaiBandh 
","2018-07-25 10:30:08","TRUE","1","0","1","Culture","Maharashtra","India",FALSE
"23","MarathaReservationProtest MarathaQuotaStir MarathaKrantiMorcha QuotaCrisisErupts  MarathaReservation  ","2018-07-25 10:16:56","FALSE","1","0","0","Culture","Maharashtra","India",FALSE
"24","We have a variety of traditional jewellery to match the culture of Maharashtra.
jewellery gold necklace  ","2018-07-25 04:30:00","FALSE","0","0","1","Culture","Maharashtra","India",FALSE
"25","RT @harishjharia: @onlyonenetra @shekhar261976 @bhuvikal @havellsindia So is D case of women in Delhi where I live
I was born &amp; brought up","2018-07-25 02:35:01","TRUE","4","0","0","Culture","Maharashtra","India",FALSE
"26","RT @harishjharia: @onlyonenetra @shekhar261976 @bhuvikal @havellsindia So is D case of women in Delhi where I live
I was born &amp; brought up","2018-07-25 02:25:05","TRUE","4","0","0","Culture","Maharashtra","India",TRUE
"27","RT @vdglobetrotters: Discover the top places to visit in Mumbai, the bustling city in the Maharashtra state of India. The city within it h","2018-07-24 17:00:16","TRUE","88","0","1","Culture","Maharashtra","India",FALSE
"28","Name of the godman who forces men into unnatural sex is Asif Noori from Maharashtra's Buldhana district. And, her  ","2018-07-24 13:35:40","FALSE","0","0","1","Culture","Maharashtra","India",FALSE
"29","Jejuri , 2018

india culture maharashtra everydayindia everydayasia everydayeverywhere culturetrip  ","2018-07-24 05:30:37","FALSE","0","0","1","Culture","Maharashtra","India",FALSE
"30","MT:        ","2018-07-24 05:13:00","FALSE","0","0","1","Culture","Maharashtra","India",FALSE
"31","RT @thecaravanindia: A text written in the Sakal script in ""The Languages of Maharashtra,"" the seventeenth volume produced by the Peoples","2018-07-23 23:00:46","TRUE","6","0","1","Culture","Maharashtra","India",FALSE
