"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @TNRA_RailNews: Coimbatore Pollachi Palani Madurai
Demand for train services between Madurai and Coimbatore ignored

People of the r","2018-07-29 12:05:50","TRUE","8","0","-1","Transportation","Tamil Nadu","India",FALSE
"2","RT @MSDESkillIndia: First batch of interns from Tamil Nadu reaches Japan, under Technical Intern Training Program (TITP). This Indo-Japan","2018-07-28 19:49:54","TRUE","25","0","-1","Transportation","Tamil Nadu","India",FALSE
"3","UP railway officials taken by surprise as goods train wagon from Tamil Nadu arrives four years late with fertiliser  ","2018-07-28 12:40:03","FALSE","0","0","-1","Transportation","Tamil Nadu","India",FALSE
"4","Railway coaches named after Bjp leader. Just saw a Deen Dayalu coach in a train going to Tamil Nadu","2018-07-28 06:57:22","FALSE","0","1","0","Transportation","Tamil Nadu","India",FALSE
"5","The Beautiful Scenic Journey From Ooty to Coonoor in Just Rs 10 - By Tamil Nadu Toy Train-  ","2018-07-28 04:44:47","FALSE","0","0","-1","Transportation","Tamil Nadu","India",FALSE
"6","It's the only place in the world where the gatekeeper travels in the train to close and open  the gates in *Manned  ","2018-07-28 04:15:58","FALSE","0","0","3","Transportation","Tamil Nadu","India",FALSE
"7","  :    -  

 ","2018-07-28 02:21:20","FALSE","0","12","1","Transportation","Tamil Nadu","India",FALSE
"8","RT @TNYTForum: Exemplary service of Tamil Nadu police:Constables Dhanasekaran and Manikandan helped a pregnant woman get down from a local","2018-07-27 15:50:49","TRUE","524","0","1","Transportation","Tamil Nadu","India",FALSE
"9","   :     

     ","2018-07-27 10:09:15","FALSE","0","4","0","Transportation","Tamil Nadu","India",FALSE
"10","   :     ...

:  ","2018-07-27 07:46:00","FALSE","0","10","1","Transportation","Tamil Nadu","India",FALSE
"11","RT @News18TamilNadu:    12-     ...

 ","2018-07-27 06:01:55","TRUE","1","0","1","Transportation","Tamil Nadu","India",FALSE
"12","   12-     ...

 ","2018-07-27 05:58:35","FALSE","1","5","-2","Transportation","Tamil Nadu","India",FALSE
"13","RT @TNRA_RailNews: Coimbatore Pollachi Palani Madurai
Demand for train services between Madurai and Coimbatore ignored

People of the r","2018-07-27 03:43:37","TRUE","8","0","1","Transportation","Tamil Nadu","India",TRUE
"14","RT @TNYTForum: Exemplary service of Tamil Nadu police:Constables Dhanasekaran and Manikandan helped a pregnant woman get down from a local","2018-07-26 19:39:28","TRUE","524","0","0","Transportation","Tamil Nadu","India",TRUE
"15"," ","2018-07-26 14:15:50","FALSE","0","0","1","Transportation","Tamil Nadu","India",FALSE
"16","@irctc_app 
 me and my wife traveling in tamil nadu express from Delhi to chennai,my wife not feeling well she is g  ","2018-07-26 13:32:24","FALSE","0","0","1","Transportation","Tamil Nadu","India",FALSE
"17","@PiyushGoyalOffc me and my wife traveling in tamil nadu express from Delhi to chennai,my wife not feeling well she  ","2018-07-26 13:19:58","FALSE","0","0","0","Transportation","Tamil Nadu","India",FALSE
"18","RT @OnmanoramaLive: TN policemen do a Bahubali, lets pregnant woman step on them | Video
 ","2018-07-26 12:32:14","TRUE","1","0","1","Transportation","Tamil Nadu","India",FALSE
"19","TN policemen do a Bahubali, lets pregnant woman step on them | Video
 ","2018-07-26 12:27:00","FALSE","1","0","1","Transportation","Tamil Nadu","India",FALSE
"20","@TamilTheHindu ONLY ULALO ULAL ENDA DRAVIDA KAATCHI KARARKAL INDIA((TAMIL NADU))KOLAIO KOLAI ATEDU ENRU OVARVANUM P  ","2018-07-26 08:48:52","FALSE","0","0","0","Transportation","Tamil Nadu","India",FALSE
"21","RT @PoliticsNext: Breaking 4 dead, 6 injured after falling off overcrowded train in Tamil Nadu Read More :  ","2018-07-26 07:16:22","TRUE","1","0","0","Transportation","Tamil Nadu","India",FALSE
"22","Breaking 4 dead, 6 injured after falling off overcrowded train in Tamil Nadu Read More :  ","2018-07-26 07:15:23","FALSE","1","0","1","Transportation","Tamil Nadu","India",FALSE
"23","RT @MSDESkillIndia: First batch of interns from Tamil Nadu reaches Japan, under Technical Intern Training Program (TITP). This Indo-Japan","2018-07-26 06:40:47","TRUE","25","0","0","Transportation","Tamil Nadu","India",TRUE
"24","RT @TNRA_RailNews: Coimbatore Pollachi Palani Madurai
Demand for train services between Madurai and Coimbatore ignored

People of the r","2018-07-26 06:31:38","TRUE","8","0","1","Transportation","Tamil Nadu","India",TRUE
"25","RT @News18TamilNadu:     4   ....

:  ","2018-07-26 05:21:59","TRUE","6","0","0","Transportation","Tamil Nadu","India",FALSE
"26","    4    ?

 ","2018-07-26 04:56:23","FALSE","0","6","0","Transportation","Tamil Nadu","India",FALSE
"27","RT @TNYTForum: Exemplary service of Tamil Nadu police:Constables Dhanasekaran and Manikandan helped a pregnant woman get down from a local","2018-07-26 04:35:19","TRUE","524","0","1","Transportation","Tamil Nadu","India",TRUE
"28","RT @TNRA_RailNews: Coimbatore Pollachi Palani Madurai
Demand for train services between Madurai and Coimbatore ignored

People of the r","2018-07-26 03:53:43","TRUE","8","0","1","Transportation","Tamil Nadu","India",TRUE
"29","RT @News18TamilNadu:     4   ....

:  ","2018-07-26 02:50:08","TRUE","6","0","1","Transportation","Tamil Nadu","India",TRUE
"30","RT @TNRA_RailNews: Coimbatore Pollachi Palani Madurai
Demand for train services between Madurai and Coimbatore ignored

People of the r","2018-07-26 02:40:03","TRUE","8","0","1","Transportation","Tamil Nadu","India",TRUE
"31","RT @TNRA_RailNews: Coimbatore Pollachi Palani Madurai
Demand for train services between Madurai and Coimbatore ignored

People of the r","2018-07-26 01:48:47","TRUE","8","0","1","Transportation","Tamil Nadu","India",TRUE
"32","RT @TNRA_RailNews: Coimbatore Pollachi Palani Madurai
Demand for train services between Madurai and Coimbatore ignored

People of the r","2018-07-26 01:38:55","TRUE","8","0","0","Transportation","Tamil Nadu","India",TRUE
"33","Coimbatore Pollachi Palani Madurai
Demand for train services between Madurai and Coimbatore ignored

People of  ","2018-07-26 01:37:13","FALSE","8","16","0","Transportation","Tamil Nadu","India",FALSE
"34","RT @News18TamilNadu:     4   ....

:  ","2018-07-25 17:50:19","TRUE","6","0","0","Transportation","Tamil Nadu","India",TRUE
"35","RT @News18TamilNadu:     4   ....

:  ","2018-07-25 17:42:21","TRUE","6","0","0","Transportation","Tamil Nadu","India",TRUE
"36","RT @News18TamilNadu:     4   ....

:  ","2018-07-25 17:38:36","TRUE","6","0","1","Transportation","Tamil Nadu","India",TRUE
"37","RT @News18TamilNadu:     4   ....

:  ","2018-07-25 17:37:22","TRUE","6","0","0","Transportation","Tamil Nadu","India",TRUE
"38","    4   ....

:  ","2018-07-25 17:37:11","FALSE","6","12","-2","Transportation","Tamil Nadu","India",FALSE
"39","RT @TNYTForum: Exemplary service of Tamil Nadu police:Constables Dhanasekaran and Manikandan helped a pregnant woman get down from a local","2018-07-25 14:30:41","TRUE","524","0","0","Transportation","Tamil Nadu","India",TRUE
"40","RT @TNYTForum: Exemplary service of Tamil Nadu police:Constables Dhanasekaran and Manikandan helped a pregnant woman get down from a local","2018-07-25 11:57:56","TRUE","524","0","0","Transportation","Tamil Nadu","India",TRUE
"41","RT @News18TamilNadu:   :  30  -     

 ","2018-07-25 11:57:43","TRUE","3","0","0","Transportation","Tamil Nadu","India",FALSE
"42","RT @TNYTForum: Exemplary service of Tamil Nadu police:Constables Dhanasekaran and Manikandan helped a pregnant woman get down from a local","2018-07-25 10:49:32","TRUE","524","0","0","Transportation","Tamil Nadu","India",TRUE
"43","RT @TNYTForum: Exemplary service of Tamil Nadu police:Constables Dhanasekaran and Manikandan helped a pregnant woman get down from a local","2018-07-25 10:17:26","TRUE","524","0","0","Transportation","Tamil Nadu","India",TRUE
"44","    4    ?

 ","2018-07-25 10:06:08","FALSE","0","4","-1","Transportation","Tamil Nadu","India",TRUE
"45","RT @TNYTForum: Exemplary service of Tamil Nadu police:Constables Dhanasekaran and Manikandan helped a pregnant woman get down from a local","2018-07-25 09:58:18","TRUE","524","0","0","Transportation","Tamil Nadu","India",TRUE
