"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","@learning_pt @CrowdWisdom360 Chandigarh is well connected. See data - it has 20k /m flyers to/fro mumbai etc. See V  ","2018-07-29 15:35:04","FALSE","0","0","-1","Transportation","Delhi","India",FALSE
"2","RT @AamAadmiParty: Delhi CM @ArvindKejriwal is on a surprise inspection of Burari Transport Authority, Delhi along with Transport Minister","2018-07-29 13:50:42","TRUE","298","0","-1","Transportation","Delhi","India",FALSE
"3","Delhi Transport Corporation Recruitment 2018 Deputation Posts (21 Vacancies) 
 ","2018-07-29 12:45:52","FALSE","0","0","-1","Transportation","Delhi","India",FALSE
"4","@ArvindKejriwal When is Transformation of the Transport Department is taking place? When are you going to BAN Unreg  ","2018-07-29 12:36:33","FALSE","0","0","0","Transportation","Delhi","India",FALSE
"5","RT @DaaruBaazMehta: MUST WATCH

AAP RS MP @SanjayAzadSln Raises Issue in Public Transport

@ArvindKejriwal is not invited for Metro Inaugur","2018-07-29 11:38:15","TRUE","771","0","-1","Transportation","Delhi","India",FALSE
"6","Delhi is one of the best governed state now .With AAP taking over LG ,they are now issuing every work that was res  ","2018-07-29 10:51:56","FALSE","0","1","3","Transportation","Delhi","India",FALSE
"7","@Jasmine441 Did AAP focused on infra issues in delhi? Water logging is a big problem in delhi. Public Transport is  ","2018-07-29 10:14:21","FALSE","0","0","1","Transportation","Delhi","India",FALSE
"8","RT @chetanecostani: Kawarias are here and they squat on delhi metro. Something new for the world class public transport. No one will dare","2018-07-29 10:03:42","TRUE","1","0","1","Transportation","Delhi","India",FALSE
"9","Delhi Transport Corporation Recruitment 2018 Deputation Posts (21 Vacancies)  ","2018-07-29 08:44:33","FALSE","0","0","0","Transportation","Delhi","India",FALSE
"10","RT @Ranveer186: Delhi also need this mode of transport  ","2018-07-29 07:02:34","TRUE","3","0","1","Transportation","Delhi","India",FALSE
"11","@dimpleyadavsp__ @yadavakhilesh @pankhuripathak Metro chulane ka muksad traffic ko kum kurna tha , Gujarat mei delh  ","2018-07-29 06:49:35","FALSE","0","0","1","Transportation","Delhi","India",FALSE
"12","Delhi Transport Corporation Recruitment 2018 Deputation Posts (21 Vacancies)  ","2018-07-29 06:42:36","FALSE","0","0","-2","Transportation","Delhi","India",TRUE
