"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","@swiggy_in   
Order butter chicken from mini Punjab Bandra. Foul food smelling so bad. Kept the food as it is and c  ","2018-07-28 19:25:04","FALSE","0","1","-1","Food","Punjab","India",FALSE
"2","visit Derzi
Address:- 197, Queens Road, Opp. Crystal Restaurant, Amritsar, Punjab 
CONTACT NO:- 9915748633  ","2018-07-28 06:42:55","FALSE","0","2","-1","Food","Punjab","India",FALSE
"3","@NatashaFatah Natasha, Jaspal is a turbanless Sikh. He probably wore his ""Sher-e-Punjab"" restaurant shirt to work t  ","2018-07-28 04:58:54","FALSE","0","0","-1","Food","Punjab","India",FALSE
"4","at punjab kabob house Pakistani restaurant SF city it's smacking all the arabs n uncle gs comes hear ... I don't co  ","2018-07-28 03:43:57","FALSE","0","0","0","Food","Punjab","India",FALSE
"5","@ZorawarKalra @Made_In_Punjab @ZorawarKalra my favourite restaurants Made in Punjab in cyber hub Gurgaon, but heavi  ","2018-07-28 03:13:01","FALSE","0","0","-1","Food","Punjab","India",FALSE
"6","@Eekraw The Sikh gentleman does not wear a turban. He wears a Sher-e-Punjab T-shirt which is his restaurant on the  ","2018-07-27 19:43:50","FALSE","0","0","3","Food","Punjab","India",FALSE
"7","Chicken Tikka Biryani @ 9.50

Chicken Tikka Biryani is a chicken dish originating in the Punjab region of the Indi  ","2018-07-27 13:23:07","FALSE","0","0","1","Food","Punjab","India",FALSE
"8","M. Singh est propritaire du restaurant indien Sher-E-Punjab, sur l'avenue Danforth.

Il raconte qu'il marchait dan  ","2018-07-26 20:56:58","FALSE","0","0","1","Food","Punjab","India",FALSE
"9","RT @SteveFranssen: Jaspal Singh, owner of the Sher-E-Punjab Indian Restaurant, encountered ISIS gunman Faisal Hussain before the man fired","2018-07-26 16:10:23","TRUE","3","0","0","Food","Punjab","India",FALSE
"10","I ordered a pure veg meal frm @UberEats @Uber_India &amp; received my meal with nonveg items. Restaurant name is 'sher-  ","2018-07-26 16:07:57","FALSE","0","0","1","Food","Punjab","India",FALSE
"11","RT @SteveFranssen: Jaspal Singh, owner of the Sher-E-Punjab Indian Restaurant, encountered ISIS gunman Faisal Hussain before the man fired","2018-07-26 11:30:18","TRUE","3","0","1","Food","Punjab","India",TRUE
"12","RT @SteveFranssen: Jaspal Singh, owner of the Sher-E-Punjab Indian Restaurant, encountered ISIS gunman Faisal Hussain before the man fired","2018-07-26 04:41:12","TRUE","3","0","-2","Food","Punjab","India",TRUE
"13","Jaspal Singh, owner of the Sher-E-Punjab Indian Restaurant, encountered ISIS gunman Faisal Hussain before the man  ","2018-07-26 02:47:37","FALSE","3","6","1","Food","Punjab","India",FALSE
"14","RT @ajitjohnson_n: A hint of sexism maybe? - Punjab restaurant, London   ","2018-07-25 18:45:32","TRUE","36","0","0","Food","Punjab","India",FALSE
